path,label,source_wav,window_index,shape,start_sec,duration_sec
background/background_20260701_183332_842751_0000_00.npy,background,background/background_20260701_183332_842751_0000.wav,0,64x101,0.0,1.0
background/background_20260701_183332_842751_0000_01.npy,background,background/background_20260701_183332_842751_0000.wav,1,64x101,1.0,1.0
background/background_20260701_183332_842751_0000_02.npy,background,background/background_20260701_183332_842751_0000.wav,2,64x101,2.0,1.0
background/background_20260701_183332_842751_0000_03.npy,background,background/background_20260701_183332_842751_0000.wav,3,64x101,3.0,1.0
background/background_20260701_183332_842751_0000_04.npy,background,background/background_20260701_183332_842751_0000.wav,4,64x101,4.0,1.0
background/background_20260701_183337_845701_0001_00.npy,background,background/background_20260701_183337_845701_0001.wav,0,64x101,0.0,1.0
background/background_20260701_183337_845701_0001_01.npy,background,background/background_20260701_183337_845701_0001.wav,1,64x101,1.0,1.0
background/background_20260701_183337_845701_0001_02.npy,background,background/background_20260701_183337_845701_0001.wav,2,64x101,2.0,1.0
background/background_20260701_183337_845701_0001_03.npy,background,background/background_20260701_183337_845701_0001.wav,3,64x101,3.0,1.0
background/background_20260701_183337_845701_0001_04.npy,background,background/background_20260701_183337_845701_0001.wav,4,64x101,4.0,1.0
background/background_20260701_183342_848291_0002_00.npy,background,background/background_20260701_183342_848291_0002.wav,0,64x101,0.0,1.0
background/background_20260701_183342_848291_0002_01.npy,background,background/background_20260701_183342_848291_0002.wav,1,64x101,1.0,1.0
background/background_20260701_183342_848291_0002_02.npy,background,background/background_20260701_183342_848291_0002.wav,2,64x101,2.0,1.0
background/background_20260701_183342_848291_0002_03.npy,background,background/background_20260701_183342_848291_0002.wav,3,64x101,3.0,1.0
background/background_20260701_183342_848291_0002_04.npy,background,background/background_20260701_183342_848291_0002.wav,4,64x101,4.0,1.0
background/background_20260701_183347_851357_0003_00.npy,background,background/background_20260701_183347_851357_0003.wav,0,64x101,0.0,1.0
background/background_20260701_183347_851357_0003_01.npy,background,background/background_20260701_183347_851357_0003.wav,1,64x101,1.0,1.0
background/background_20260701_183347_851357_0003_02.npy,background,background/background_20260701_183347_851357_0003.wav,2,64x101,2.0,1.0
background/background_20260701_183347_851357_0003_03.npy,background,background/background_20260701_183347_851357_0003.wav,3,64x101,3.0,1.0
background/background_20260701_183347_851357_0003_04.npy,background,background/background_20260701_183347_851357_0003.wav,4,64x101,4.0,1.0
background/background_20260701_183352_854278_0004_00.npy,background,background/background_20260701_183352_854278_0004.wav,0,64x101,0.0,1.0
background/background_20260701_183352_854278_0004_01.npy,background,background/background_20260701_183352_854278_0004.wav,1,64x101,1.0,1.0
background/background_20260701_183352_854278_0004_02.npy,background,background/background_20260701_183352_854278_0004.wav,2,64x101,2.0,1.0
background/background_20260701_183352_854278_0004_03.npy,background,background/background_20260701_183352_854278_0004.wav,3,64x101,3.0,1.0
background/background_20260701_183352_854278_0004_04.npy,background,background/background_20260701_183352_854278_0004.wav,4,64x101,4.0,1.0
background/background_20260701_183357_857197_0005_00.npy,background,background/background_20260701_183357_857197_0005.wav,0,64x101,0.0,1.0
background/background_20260701_183357_857197_0005_01.npy,background,background/background_20260701_183357_857197_0005.wav,1,64x101,1.0,1.0
background/background_20260701_183357_857197_0005_02.npy,background,background/background_20260701_183357_857197_0005.wav,2,64x101,2.0,1.0
background/background_20260701_183357_857197_0005_03.npy,background,background/background_20260701_183357_857197_0005.wav,3,64x101,3.0,1.0
background/background_20260701_183357_857197_0005_04.npy,background,background/background_20260701_183357_857197_0005.wav,4,64x101,4.0,1.0
background/background_20260701_183402_860122_0006_00.npy,background,background/background_20260701_183402_860122_0006.wav,0,64x101,0.0,1.0
background/background_20260701_183402_860122_0006_01.npy,background,background/background_20260701_183402_860122_0006.wav,1,64x101,1.0,1.0
background/background_20260701_183402_860122_0006_02.npy,background,background/background_20260701_183402_860122_0006.wav,2,64x101,2.0,1.0
background/background_20260701_183402_860122_0006_03.npy,background,background/background_20260701_183402_860122_0006.wav,3,64x101,3.0,1.0
background/background_20260701_183402_860122_0006_04.npy,background,background/background_20260701_183402_860122_0006.wav,4,64x101,4.0,1.0
background/background_20260701_183407_863025_0007_00.npy,background,background/background_20260701_183407_863025_0007.wav,0,64x101,0.0,1.0
background/background_20260701_183407_863025_0007_01.npy,background,background/background_20260701_183407_863025_0007.wav,1,64x101,1.0,1.0
background/background_20260701_183407_863025_0007_02.npy,background,background/background_20260701_183407_863025_0007.wav,2,64x101,2.0,1.0
background/background_20260701_183407_863025_0007_03.npy,background,background/background_20260701_183407_863025_0007.wav,3,64x101,3.0,1.0
background/background_20260701_183407_863025_0007_04.npy,background,background/background_20260701_183407_863025_0007.wav,4,64x101,4.0,1.0
background/background_20260701_183412_865928_0008_00.npy,background,background/background_20260701_183412_865928_0008.wav,0,64x101,0.0,1.0
background/background_20260701_183412_865928_0008_01.npy,background,background/background_20260701_183412_865928_0008.wav,1,64x101,1.0,1.0
background/background_20260701_183412_865928_0008_02.npy,background,background/background_20260701_183412_865928_0008.wav,2,64x101,2.0,1.0
background/background_20260701_183412_865928_0008_03.npy,background,background/background_20260701_183412_865928_0008.wav,3,64x101,3.0,1.0
background/background_20260701_183412_865928_0008_04.npy,background,background/background_20260701_183412_865928_0008.wav,4,64x101,4.0,1.0
background/background_20260701_183417_868843_0009_00.npy,background,background/background_20260701_183417_868843_0009.wav,0,64x101,0.0,1.0
background/background_20260701_183417_868843_0009_01.npy,background,background/background_20260701_183417_868843_0009.wav,1,64x101,1.0,1.0
background/background_20260701_183417_868843_0009_02.npy,background,background/background_20260701_183417_868843_0009.wav,2,64x101,2.0,1.0
background/background_20260701_183417_868843_0009_03.npy,background,background/background_20260701_183417_868843_0009.wav,3,64x101,3.0,1.0
background/background_20260701_183417_868843_0009_04.npy,background,background/background_20260701_183417_868843_0009.wav,4,64x101,4.0,1.0
background/background_20260701_183422_871762_0010_00.npy,background,background/background_20260701_183422_871762_0010.wav,0,64x101,0.0,1.0
background/background_20260701_183422_871762_0010_01.npy,background,background/background_20260701_183422_871762_0010.wav,1,64x101,1.0,1.0
background/background_20260701_183422_871762_0010_02.npy,background,background/background_20260701_183422_871762_0010.wav,2,64x101,2.0,1.0
background/background_20260701_183422_871762_0010_03.npy,background,background/background_20260701_183422_871762_0010.wav,3,64x101,3.0,1.0
